Using cpu device
---------------------------------
| rollout/           |          |
|    time_elapsed         | 51           |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0037852959 |
|    clip_fraction        | 0.0531       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.35        |
|    explained_variance   | 0.102        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.668        |
|    n_updates            | 136          |
|    policy_gradient_loss | -0.0032      |
|    std                  | 0.974        |
|    value_loss           | 1.37         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -8.07       |
| time/                   |             |
|    fps                  | 1796        |
|    iterations           | 19          |
|    time_elapsed         | 54          |
|    total_timesteps      | 97280       |
| train/                  |             |
|    approx_kl            | 0.002081774 |
|    clip_fraction        | 0.0179      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.35       |
|    explained_variance   | 0.138       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.629       |
|    n_updates            | 144         |
|    policy_gradient_loss | -0.00144    |
|    std                  | 0.974       |
|    value_loss           | 1.32        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.02        |
| time/                   |              |
|    fps                  | 1789         |
|    iterations           | 20           |
|    time_elapsed         | 57           |
|    total_timesteps      | 102400       |
| train/                  |              |
|    approx_kl            | 0.0032834546 |
|    clip_fraction        | 0.0375       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.35        |
|    explained_variance   | 0.184        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.601        |
|    n_updates            | 152          |
|    policy_gradient_loss | -0.00213     |
|    std                  | 0.973        |
|    value_loss           | 1.27         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.01        |
| time/                   |              |
|    fps                  | 1786         |
|    iterations           | 21           |
|    time_elapsed         | 60           |
|    total_timesteps      | 107520       |
| train/                  |              |
|    approx_kl            | 0.0021738843 |
|    clip_fraction        | 0.0215       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.34        |
|    explained_variance   | 0.245        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.567        |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00138     |
|    std                  | 0.972        |
|    value_loss           | 1.16         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.01        |
| time/                   |              |
|    fps                  | 1784         |
|    iterations           | 22           |
|    time_elapsed         | 63           |
|    total_timesteps      | 112640       |
| train/                  |              |
|    approx_kl            | 0.0033529918 |
|    clip_fraction        | 0.0599       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.33        |
|    explained_variance   | 0.324        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.48         |
|    n_updates            | 168          |
|    policy_gradient_loss | -0.00352     |
|    std                  | 0.97         |
|    value_loss           | 1.02         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.97       |
| time/                   |             |
|    fps                  | 1786        |
|    iterations           | 23          |
|    time_elapsed         | 65          |
|    total_timesteps      | 117760      |
| train/                  |             |
|    approx_kl            | 0.002537164 |
|    clip_fraction        | 0.0352      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.32       |
|    explained_variance   | 0.409       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.378       |
|    n_updates            | 176         |
|    policy_gradient_loss | -0.00193    |
|    std                  | 0.968       |
|    value_loss           | 0.878       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.94        |
| time/                   |              |
|    fps                  | 1788         |
|    iterations           | 24           |
|    time_elapsed         | 68           |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0033889427 |
|    clip_fraction        | 0.0516       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.31        |
|    explained_variance   | 0.499        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.311        |
|    n_updates            | 184          |
|    policy_gradient_loss | -0.00307     |
|    std                  | 0.967        |
|    value_loss           | 0.731        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.93        |
| time/                   |              |
|    fps                  | 1786         |
|    iterations           | 25           |
|    time_elapsed         | 71           |
|    total_timesteps      | 128000       |
| train/                  |              |
|    approx_kl            | 0.0035413273 |
|    clip_fraction        | 0.0539       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.31        |
|    explained_variance   | 0.593        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.248        |
|    n_updates            | 192          |
|    policy_gradient_loss | -0.0034      |
|    std                  | 0.966        |
|    value_loss           | 0.583        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.92        |
| time/                   |              |
|    fps                  | 1784         |
|    iterations           | 26           |
|    time_elapsed         | 74           |
|    total_timesteps      | 133120       |
| train/                  |              |
|    approx_kl            | 0.0017420672 |
|    clip_fraction        | 0.0191       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.3         |
|    explained_variance   | 0.686        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.175        |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00126     |
|    std                  | 0.965        |
|    value_loss           | 0.436        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.89       |
| time/                   |             |
|    fps                  | 1782        |
|    iterations           | 27          |
|    time_elapsed         | 77          |
|    total_timesteps      | 138240      |
| train/                  |             |
|    approx_kl            | 0.003063251 |
|    clip_fraction        | 0.0563      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.3        |
|    explained_variance   | 0.776       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.109       |
|    n_updates            | 208         |
|    policy_gradient_loss | -0.00337    |
|    std                  | 0.966       |
|    value_loss           | 0.307       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7          |
|    ep_rew_mean          | -7.86      |
| time/                   |            |
|    fps                  | 1782       |
|    iterations           | 28         |
|    time_elapsed         | 80         |
|    total_timesteps      | 143360     |
| train/                  |            |
|    approx_kl            | 0.00303091 |
|    clip_fraction        | 0.0572     |
|    clip_range           | 0.15       |
|    entropy_loss         | -8.3       |
|    explained_variance   | 0.849      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0666     |
|    n_updates            | 216        |
|    policy_gradient_loss | -0.00346   |
|    std                  | 0.966      |
|    value_loss           | 0.203      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.88        |
| time/                   |              |
|    fps                  | 1782         |
|    iterations           | 29           |
|    time_elapsed         | 83           |
|    total_timesteps      | 148480       |
| train/                  |              |
|    approx_kl            | 0.0024689294 |
|    clip_fraction        | 0.0719       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.3         |
|    explained_variance   | 0.912        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.0273       |
|    n_updates            | 224          |
|    policy_gradient_loss | -0.00412     |
|    std                  | 0.964        |
|    value_loss           | 0.112        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.86        |
| time/                   |              |
|    fps                  | 1784         |
|    iterations           | 30           |
|    time_elapsed         | 86           |
|    total_timesteps      | 153600       |
| train/                  |              |
|    approx_kl            | 0.0033767533 |
|    clip_fraction        | 0.0902       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.29        |
|    explained_variance   | 0.951        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00976      |
|    n_updates            | 232          |
|    policy_gradient_loss | -0.00568     |
|    std                  | 0.963        |
|    value_loss           | 0.0644       |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7          |
|    ep_rew_mean          | -7.86      |
| time/                   |            |
|    fps                  | 1785       |
|    iterations           | 31         |
|    time_elapsed         | 88         |
|    total_timesteps      | 158720     |
| train/                  |            |
|    approx_kl            | 0.00467478 |
|    clip_fraction        | 0.131      |
|    clip_range           | 0.15       |
|    entropy_loss         | -8.28      |
|    explained_variance   | 0.97       |
|    learning_rate        | 0.0002     |
|    loss                 | -0.00134   |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.00946   |
|    std                  | 0.961      |
|    value_loss           | 0.0422     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.81       |
| time/                   |             |
|    fps                  | 1784        |
|    iterations           | 32          |
|    time_elapsed         | 91          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.004329207 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.26       |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00329    |
|    n_updates            | 248         |
|    policy_gradient_loss | -0.00865    |
|    std                  | 0.96        |
|    value_loss           | 0.0336      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.83        |
| time/                   |              |
|    fps                  | 1783         |
|    iterations           | 33           |
|    time_elapsed         | 94           |
|    total_timesteps      | 168960       |
| train/                  |              |
|    approx_kl            | 0.0031694479 |
|    clip_fraction        | 0.1          |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.25        |
|    explained_variance   | 0.981        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00409     |
|    n_updates            | 256          |
|    policy_gradient_loss | -0.00707     |
|    std                  | 0.958        |
|    value_loss           | 0.03         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.78        |
| time/                   |              |
|    fps                  | 1771         |
|    iterations           | 34           |
|    time_elapsed         | 98           |
|    total_timesteps      | 174080       |
| train/                  |              |
|    approx_kl            | 0.0039176806 |
|    clip_fraction        | 0.0937       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.24        |
|    explained_variance   | 0.983        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00389     |
|    n_updates            | 264          |
|    policy_gradient_loss | -0.00754     |
|    std                  | 0.955        |
|    value_loss           | 0.0274       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.78        |
| time/                   |              |
|    fps                  | 1766         |
|    iterations           | 35           |
|    time_elapsed         | 101          |
|    total_timesteps      | 179200       |
| train/                  |              |
|    approx_kl            | 0.0029578214 |
|    clip_fraction        | 0.0717       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.22        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000611    |
|    n_updates            | 272          |
|    policy_gradient_loss | -0.00478     |
|    std                  | 0.954        |
|    value_loss           | 0.0257       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.77        |
| time/                   |              |
|    fps                  | 1763         |
|    iterations           | 36           |
|    time_elapsed         | 104          |
|    total_timesteps      | 184320       |
| train/                  |              |
|    approx_kl            | 0.0036187242 |
|    clip_fraction        | 0.0912       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.22        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00309     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00726     |
|    std                  | 0.953        |
|    value_loss           | 0.0254       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.76        |
| time/                   |              |
|    fps                  | 1760         |
|    iterations           | 37           |
|    time_elapsed         | 107          |
|    total_timesteps      | 189440       |
| train/                  |              |
|    approx_kl            | 0.0023962117 |
|    clip_fraction        | 0.0536       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.21        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00251     |
|    n_updates            | 288          |
|    policy_gradient_loss | -0.00449     |
|    std                  | 0.952        |
|    value_loss           | 0.0243       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.76        |
| time/                   |              |
|    fps                  | 1757         |
|    iterations           | 38           |
|    time_elapsed         | 110          |
|    total_timesteps      | 194560       |
| train/                  |              |
|    approx_kl            | 0.0028802464 |
|    clip_fraction        | 0.0791       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.21        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00225     |
|    n_updates            | 296          |
|    policy_gradient_loss | -0.00488     |
|    std                  | 0.952        |
|    value_loss           | 0.0242       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.74        |
| time/                   |              |
|    fps                  | 1755         |
|    iterations           | 39           |
|    time_elapsed         | 113          |
|    total_timesteps      | 199680       |
| train/                  |              |
|    approx_kl            | 0.0028661832 |
|    clip_fraction        | 0.0636       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.2         |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000951    |
|    n_updates            | 304          |
|    policy_gradient_loss | -0.00439     |
|    std                  | 0.951        |
|    value_loss           | 0.023        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.74        |
| time/                   |              |
|    fps                  | 1752         |
|    iterations           | 40           |
|    time_elapsed         | 116          |
|    total_timesteps      | 204800       |
| train/                  |              |
|    approx_kl            | 0.0024927794 |
|    clip_fraction        | 0.0401       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.19        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00119     |
|    n_updates            | 312          |
|    policy_gradient_loss | -0.00298     |
|    std                  | 0.95         |
|    value_loss           | 0.0231       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.74        |
| time/                   |              |
|    fps                  | 1751         |
|    iterations           | 41           |
|    time_elapsed         | 119          |
|    total_timesteps      | 209920       |
| train/                  |              |
|    approx_kl            | 0.0025019269 |
|    clip_fraction        | 0.048        |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.18        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.000359     |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00305     |
|    std                  | 0.949        |
|    value_loss           | 0.0246       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.75       |
| time/                   |             |
|    fps                  | 1749        |
|    iterations           | 42          |
|    time_elapsed         | 122         |
|    total_timesteps      | 215040      |
| train/                  |             |
|    approx_kl            | 0.002571057 |
|    clip_fraction        | 0.0388      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.18       |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.00328     |
|    n_updates            | 328         |
|    policy_gradient_loss | -0.0021     |
|    std                  | 0.947       |
|    value_loss           | 0.024       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.74        |
| time/                   |              |
|    fps                  | 1749         |
|    iterations           | 43           |
|    time_elapsed         | 125          |
|    total_timesteps      | 220160       |
| train/                  |              |
|    approx_kl            | 0.0020888525 |
|    clip_fraction        | 0.0451       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.17        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00169     |
|    n_updates            | 336          |
|    policy_gradient_loss | -0.00257     |
|    std                  | 0.946        |
|    value_loss           | 0.0236       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.73        |
| time/                   |              |
|    fps                  | 1749         |
|    iterations           | 44           |
|    time_elapsed         | 128          |
|    total_timesteps      | 225280       |
| train/                  |              |
|    approx_kl            | 0.0030393251 |
|    clip_fraction        | 0.07         |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.16        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00108      |
|    n_updates            | 344          |
|    policy_gradient_loss | -0.004       |
|    std                  | 0.944        |
|    value_loss           | 0.0236       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1748         |
|    iterations           | 45           |
|    time_elapsed         | 131          |
|    total_timesteps      | 230400       |
| train/                  |              |
|    approx_kl            | 0.0029271613 |
|    clip_fraction        | 0.0391       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.14        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00182     |
|    n_updates            | 352          |
|    policy_gradient_loss | -0.00255     |
|    std                  | 0.941        |
|    value_loss           | 0.0231       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.73        |
| time/                   |              |
|    fps                  | 1748         |
