Using cpu device
---------------------------------
| rollout/           |          |
|    time_elapsed         | 50           |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0034942315 |
|    clip_fraction        | 0.0348       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.4         |
|    explained_variance   | 0.177        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.577        |
|    n_updates            | 136          |
|    policy_gradient_loss | -0.00212     |
|    std                  | 0.981        |
|    value_loss           | 1.26         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8.04        |
| time/                   |              |
|    fps                  | 1813         |
|    iterations           | 19           |
|    time_elapsed         | 53           |
|    total_timesteps      | 97280        |
| train/                  |              |
|    approx_kl            | 0.0031541015 |
|    clip_fraction        | 0.0405       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.4         |
|    explained_variance   | 0.24         |
|    learning_rate        | 0.0002       |
|    loss                 | 0.545        |
|    n_updates            | 144          |
|    policy_gradient_loss | -0.00248     |
|    std                  | 0.981        |
|    value_loss           | 1.16         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -8           |
| time/                   |              |
|    fps                  | 1808         |
|    iterations           | 20           |
|    time_elapsed         | 56           |
|    total_timesteps      | 102400       |
| train/                  |              |
|    approx_kl            | 0.0023901192 |
|    clip_fraction        | 0.0308       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.39        |
|    explained_variance   | 0.313        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.478        |
|    n_updates            | 152          |
|    policy_gradient_loss | -0.00213     |
|    std                  | 0.978        |
|    value_loss           | 1.04         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7          |
|    ep_rew_mean          | -7.93      |
| time/                   |            |
|    fps                  | 1804       |
|    iterations           | 21         |
|    time_elapsed         | 59         |
|    total_timesteps      | 107520     |
| train/                  |            |
|    approx_kl            | 0.00352876 |
|    clip_fraction        | 0.0493     |
|    clip_range           | 0.15       |
|    entropy_loss         | -8.38      |
|    explained_variance   | 0.394      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.419      |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.00249   |
|    std                  | 0.977      |
|    value_loss           | 0.92       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.93        |
| time/                   |              |
|    fps                  | 1805         |
|    iterations           | 22           |
|    time_elapsed         | 62           |
|    total_timesteps      | 112640       |
| train/                  |              |
|    approx_kl            | 0.0018552957 |
|    clip_fraction        | 0.0182       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.37        |
|    explained_variance   | 0.489        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.347        |
|    n_updates            | 168          |
|    policy_gradient_loss | -0.00118     |
|    std                  | 0.976        |
|    value_loss           | 0.758        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.93        |
| time/                   |              |
|    fps                  | 1802         |
|    iterations           | 23           |
|    time_elapsed         | 65           |
|    total_timesteps      | 117760       |
| train/                  |              |
|    approx_kl            | 0.0036114051 |
|    clip_fraction        | 0.0555       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.37        |
|    explained_variance   | 0.579        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.26         |
|    n_updates            | 176          |
|    policy_gradient_loss | -0.00321     |
|    std                  | 0.978        |
|    value_loss           | 0.614        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.92        |
| time/                   |              |
|    fps                  | 1802         |
|    iterations           | 24           |
|    time_elapsed         | 68           |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0024239395 |
|    clip_fraction        | 0.025        |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.37        |
|    explained_variance   | 0.672        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.184        |
|    n_updates            | 184          |
|    policy_gradient_loss | -0.00159     |
|    std                  | 0.977        |
|    value_loss           | 0.467        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.89        |
| time/                   |              |
|    fps                  | 1800         |
|    iterations           | 25           |
|    time_elapsed         | 71           |
|    total_timesteps      | 128000       |
| train/                  |              |
|    approx_kl            | 0.0030149173 |
|    clip_fraction        | 0.0564       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.37        |
|    explained_variance   | 0.76         |
|    learning_rate        | 0.0002       |
|    loss                 | 0.119        |
|    n_updates            | 192          |
|    policy_gradient_loss | -0.00357     |
|    std                  | 0.976        |
|    value_loss           | 0.33         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.87        |
| time/                   |              |
|    fps                  | 1801         |
|    iterations           | 26           |
|    time_elapsed         | 73           |
|    total_timesteps      | 133120       |
| train/                  |              |
|    approx_kl            | 0.0026700697 |
|    clip_fraction        | 0.0546       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.36        |
|    explained_variance   | 0.837        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.0731       |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00326     |
|    std                  | 0.974        |
|    value_loss           | 0.218        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.87        |
| time/                   |              |
|    fps                  | 1801         |
|    iterations           | 27           |
|    time_elapsed         | 76           |
|    total_timesteps      | 138240       |
| train/                  |              |
|    approx_kl            | 0.0031328872 |
|    clip_fraction        | 0.0547       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.34        |
|    explained_variance   | 0.9          |
|    learning_rate        | 0.0002       |
|    loss                 | 0.0397       |
|    n_updates            | 208          |
|    policy_gradient_loss | -0.00376     |
|    std                  | 0.972        |
|    value_loss           | 0.13         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.86       |
| time/                   |             |
|    fps                  | 1802        |
|    iterations           | 28          |
|    time_elapsed         | 79          |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.002647662 |
|    clip_fraction        | 0.0633      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.33       |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0167      |
|    n_updates            | 216         |
|    policy_gradient_loss | -0.00457    |
|    std                  | 0.968       |
|    value_loss           | 0.0803      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.83        |
| time/                   |              |
|    fps                  | 1801         |
|    iterations           | 29           |
|    time_elapsed         | 82           |
|    total_timesteps      | 148480       |
| train/                  |              |
|    approx_kl            | 0.0033860162 |
|    clip_fraction        | 0.0892       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.31        |
|    explained_variance   | 0.964        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00401      |
|    n_updates            | 224          |
|    policy_gradient_loss | -0.00587     |
|    std                  | 0.967        |
|    value_loss           | 0.0504       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.8         |
| time/                   |              |
|    fps                  | 1802         |
|    iterations           | 30           |
|    time_elapsed         | 85           |
|    total_timesteps      | 153600       |
| train/                  |              |
|    approx_kl            | 0.0036636363 |
|    clip_fraction        | 0.1          |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.3         |
|    explained_variance   | 0.975        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00224     |
|    n_updates            | 232          |
|    policy_gradient_loss | -0.00764     |
|    std                  | 0.964        |
|    value_loss           | 0.0372       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.78        |
| time/                   |              |
|    fps                  | 1802         |
|    iterations           | 31           |
|    time_elapsed         | 88           |
|    total_timesteps      | 158720       |
| train/                  |              |
|    approx_kl            | 0.0039858953 |
|    clip_fraction        | 0.0902       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.28        |
|    explained_variance   | 0.98         |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00325     |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.0066      |
|    std                  | 0.962        |
|    value_loss           | 0.0322       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.78        |
| time/                   |              |
|    fps                  | 1800         |
|    iterations           | 32           |
|    time_elapsed         | 90           |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0030148786 |
|    clip_fraction        | 0.0745       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.27        |
|    explained_variance   | 0.982        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000202    |
|    n_updates            | 248          |
|    policy_gradient_loss | -0.00525     |
|    std                  | 0.961        |
|    value_loss           | 0.0297       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.79       |
| time/                   |             |
|    fps                  | 1801        |
|    iterations           | 33          |
|    time_elapsed         | 93          |
|    total_timesteps      | 168960      |
| train/                  |             |
|    approx_kl            | 0.003117776 |
|    clip_fraction        | 0.091       |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.26       |
|    explained_variance   | 0.982       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00168    |
|    n_updates            | 256         |
|    policy_gradient_loss | -0.00671    |
|    std                  | 0.959       |
|    value_loss           | 0.029       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.78       |
| time/                   |             |
|    fps                  | 1789        |
|    iterations           | 34          |
|    time_elapsed         | 97          |
|    total_timesteps      | 174080      |
| train/                  |             |
|    approx_kl            | 0.003361509 |
|    clip_fraction        | 0.0695      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.25       |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.000363    |
|    n_updates            | 264         |
|    policy_gradient_loss | -0.00552    |
|    std                  | 0.959       |
|    value_loss           | 0.0283      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.78        |
| time/                   |              |
|    fps                  | 1782         |
|    iterations           | 35           |
|    time_elapsed         | 100          |
|    total_timesteps      | 179200       |
| train/                  |              |
|    approx_kl            | 0.0027315444 |
|    clip_fraction        | 0.0445       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.25        |
|    explained_variance   | 0.984        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000944    |
|    n_updates            | 272          |
|    policy_gradient_loss | -0.00383     |
|    std                  | 0.958        |
|    value_loss           | 0.0269       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.76        |
| time/                   |              |
|    fps                  | 1779         |
|    iterations           | 36           |
|    time_elapsed         | 103          |
|    total_timesteps      | 184320       |
| train/                  |              |
|    approx_kl            | 0.0027346576 |
|    clip_fraction        | 0.0838       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.24        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00686     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00525     |
|    std                  | 0.958        |
|    value_loss           | 0.0256       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.74        |
| time/                   |              |
|    fps                  | 1775         |
|    iterations           | 37           |
|    time_elapsed         | 106          |
|    total_timesteps      | 189440       |
| train/                  |              |
|    approx_kl            | 0.0038392663 |
|    clip_fraction        | 0.0762       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.24        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000837    |
|    n_updates            | 288          |
|    policy_gradient_loss | -0.00499     |
|    std                  | 0.957        |
|    value_loss           | 0.0252       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.73       |
| time/                   |             |
|    fps                  | 1771        |
|    iterations           | 38          |
|    time_elapsed         | 109         |
|    total_timesteps      | 194560      |
| train/                  |             |
|    approx_kl            | 0.003044124 |
|    clip_fraction        | 0.0395      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.23       |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00154    |
|    n_updates            | 296         |
|    policy_gradient_loss | -0.00237    |
|    std                  | 0.956       |
|    value_loss           | 0.0239      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.72       |
| time/                   |             |
|    fps                  | 1767        |
|    iterations           | 39          |
|    time_elapsed         | 112         |
|    total_timesteps      | 199680      |
| train/                  |             |
|    approx_kl            | 0.002970168 |
|    clip_fraction        | 0.0548      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.22       |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.00224     |
|    n_updates            | 304         |
|    policy_gradient_loss | -0.00393    |
|    std                  | 0.953       |
|    value_loss           | 0.026       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7           |
|    ep_rew_mean          | -7.73       |
| time/                   |             |
|    fps                  | 1766        |
|    iterations           | 40          |
|    time_elapsed         | 115         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.002022218 |
|    clip_fraction        | 0.0489      |
|    clip_range           | 0.15        |
|    entropy_loss         | -8.2        |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.00294     |
|    n_updates            | 312         |
|    policy_gradient_loss | -0.00263    |
|    std                  | 0.95        |
|    value_loss           | 0.0255      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1764         |
|    iterations           | 41           |
|    time_elapsed         | 118          |
|    total_timesteps      | 209920       |
| train/                  |              |
|    approx_kl            | 0.0018206397 |
|    clip_fraction        | 0.0519       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.18        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.00161      |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00288     |
|    std                  | 0.948        |
|    value_loss           | 0.0254       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.72        |
| time/                   |              |
|    fps                  | 1761         |
|    iterations           | 42           |
|    time_elapsed         | 122          |
|    total_timesteps      | 215040       |
| train/                  |              |
|    approx_kl            | 0.0023803692 |
|    clip_fraction        | 0.036        |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.17        |
|    explained_variance   | 0.985        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.00118     |
|    n_updates            | 328          |
|    policy_gradient_loss | -0.00272     |
|    std                  | 0.946        |
|    value_loss           | 0.0256       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1760         |
|    iterations           | 43           |
|    time_elapsed         | 125          |
|    total_timesteps      | 220160       |
| train/                  |              |
|    approx_kl            | 0.0022676229 |
|    clip_fraction        | 0.0414       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.15        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | -0.000134    |
|    n_updates            | 336          |
|    policy_gradient_loss | -0.00241     |
|    std                  | 0.944        |
|    value_loss           | 0.0243       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.71        |
| time/                   |              |
|    fps                  | 1759         |
|    iterations           | 44           |
|    time_elapsed         | 128          |
|    total_timesteps      | 225280       |
| train/                  |              |
|    approx_kl            | 0.0020543884 |
|    clip_fraction        | 0.0141       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.14        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.0024       |
|    n_updates            | 344          |
|    policy_gradient_loss | -0.00125     |
|    std                  | 0.941        |
|    value_loss           | 0.0234       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.7         |
| time/                   |              |
|    fps                  | 1759         |
|    iterations           | 45           |
|    time_elapsed         | 130          |
|    total_timesteps      | 230400       |
| train/                  |              |
|    approx_kl            | 0.0022800253 |
|    clip_fraction        | 0.0353       |
|    clip_range           | 0.15         |
|    entropy_loss         | -8.12        |
|    explained_variance   | 0.986        |
|    learning_rate        | 0.0002       |
|    loss                 | 0.000347     |
|    n_updates            | 352          |
|    policy_gradient_loss | -0.00254     |
|    std                  | 0.94         |
|    value_loss           | 0.0236       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7            |
|    ep_rew_mean          | -7.69        |
| time/                   |              |
|    fps                  | 1758         |
